record_type,ecosystem_id,rack_family_id,rack_version_id,display_name,height_variant,configuration_schema_json,identification_clues_json,active,attachment_id,sku,category_id,product_url,relationship_id,evidence_state,rationale,conditions_json,limitations_json,evidence_source_title,evidence_source_url,source_date,last_verified_at,review_due_at,reviewer,record_status,price,currency,stock_state,commerce_source,commerce_updated_at,definition_id,definition_label,definition_text
rack,northstar_demo,atlas,atlas_v1_220,Atlas Modular Rack V1,220 cm,"[{""id"":""stabilisation"",""label"":""Stabilisation setup"",""required"":true,""options"":[{""value"":""floor_anchored"",""label"":""Floor anchored""},{""value"":""rear_stabiliser"",""label"":""Northstar rear stabiliser""},{""value"":""unconfirmed"",""label"":""Not sure""}]}]","[""Version label ends V1 and is printed inside the left rear upright."",""The pull-up crossmember uses the first-generation square badge.""]",true,,,,,,,,,,,,,,,,,,,,,,,,
rack,northstar_demo,atlas,atlas_v2_220,Atlas Modular Rack V2,220 cm,"[{""id"":""stabilisation"",""label"":""Stabilisation setup"",""required"":true,""options"":[{""value"":""floor_anchored"",""label"":""Floor anchored""},{""value"":""rear_stabiliser"",""label"":""Northstar rear stabiliser""},{""value"":""unconfirmed"",""label"":""Not sure""}]}]","[""Version label ends V2 and is printed below the right-side product mark."",""The pull-up crossmember has a recessed Northstar wordmark.""]",true,,,,,,,,,,,,,,,,,,,,,,,,
rack,northstar_demo,summit,summit_v1_210,Summit Compact Rack V1,210 cm,"[{""id"":""mounting"",""label"":""Mounting setup"",""required"":true,""options"":[{""value"":""floor_anchored"",""label"":""Floor anchored""},{""value"":""free_standing"",""label"":""Free standing""},{""value"":""unconfirmed"",""label"":""Not sure""}]}]","[""The exact model label reads Summit Compact V1."",""The product label is under the front-left base plate.""]",true,,,,,,,,,,,,,,,,,,,,,,,,
attachment,northstar_demo,,,Northstar V2 Spotter Arms,,,,true,att_spotter,NS-SPT-02,safety,https://northstar.example.invalid/products/spotter-arms,,,,,,,,,,,,,,,,,,,,
attachment,northstar_demo,,,Northstar Cable Tower 24,,,,true,att_cable,NS-CBL-24,pulley,https://northstar.example.invalid/products/cable-tower,,,,,,,,,,,,,,,,,,,,
attachment,northstar_demo,,,Northstar Dip Station 11,,,,true,att_dip,NS-DIP-11,strength,https://northstar.example.invalid/products/dip-station,,,,,,,,,,,,,,,,,,,,
attachment,northstar_demo,,,Northstar Landmine 08,,,,true,att_landmine,NS-LND-08,strength,https://northstar.example.invalid/products/landmine,,,,,,,,,,,,,,,,,,,,
attachment,northstar_demo,,,Northstar Plate Storage 14,,,,true,att_storage,NS-PLT-14,storage,https://northstar.example.invalid/products/plate-storage,,,,,,,,,,,,,,,,,,,,
attachment,northstar_demo,,,Northstar Jammer Arms 20,,,,true,att_jammer,NS-JAM-20,strength,https://northstar.example.invalid/products/jammer-arms,,,,,,,,,,,,,,,,,,,,
attachment,northstar_demo,,,Northstar Storage Shelf 06,,,,true,att_shelf,NS-SHF-06,storage,https://northstar.example.invalid/products/storage-shelf,,,,,,,,,,,,,,,,,,,,
