geometry_id,variant_id,shape_type,width_mm,length_mm,height_mm,operating_width_mm,operating_length_mm,operating_height_mm,local_origin,orientation_reference,geometry_version
geometry-s10-squat-stand-entry,s10-squat-stand-entry,rectangle,1220,1080,2050,2200,2200,2050,north_west,length_on_z,geo-2026-08
geometry-s20-squat-stand-standard,s20-squat-stand-standard,rectangle,1280,1220,2150,2300,2300,2150,north_west,length_on_z,geo-2026-08
geometry-h30-half-rack-entry,h30-half-rack-entry,rectangle,1300,1350,2200,2400,2400,2200,north_west,length_on_z,geo-2026-08
geometry-h40-half-rack-pro,h40-half-rack-pro,rectangle,1350,1580,2300,2450,2600,2300,north_west,length_on_z,geo-2026-08
geometry-p40-power-rack-compact,p40-power-rack-compact,rectangle,1320,1420,2080,2420,2520,2080,north_west,length_on_z,geo-2026-08
geometry-p50-power-rack-standard,p50-power-rack-standard,rectangle,1380,1720,2280,2480,2820,2280,north_west,length_on_z,geo-2026-08
geometry-p60-power-rack-premium,p60-power-rack-premium,rectangle,1500,2150,2380,2600,3250,2380,north_west,length_on_z,geo-2026-08
geometry-f20-folding-rack-compact,f20-folding-rack-compact,rectangle,1320,610,2180,2420,2250,2180,north_west,length_on_z,geo-2026-08
geometry-f30-folding-rack-pro,f30-folding-rack-pro,rectangle,1380,780,2300,2480,2450,2300,north_west,length_on_z,geo-2026-08
geometry-a10-dip-attachment,a10-dip-attachment,rectangle,650,520,250,650,520,250,north_west,length_on_z,geo-2026-08
geometry-a08-j-hooks,a08-j-hooks,rectangle,120,180,220,120,180,220,north_west,length_on_z,geo-2026-08
geometry-a32-gym-rings,a32-gym-rings,rectangle,500,280,1800,1800,1800,2300,north_west,length_on_z,geo-2026-08
geometry-a12-spotter-arms,a12-spotter-arms,rectangle,160,650,220,160,650,220,north_west,length_on_z,geo-2026-08
geometry-a14-safety-straps,a14-safety-straps,rectangle,80,900,80,80,900,80,north_west,length_on_z,geo-2026-08
geometry-a16-landmine,a16-landmine,rectangle,180,420,160,1500,1800,160,north_west,length_on_z,geo-2026-08
geometry-a18-plate-storage,a18-plate-storage,rectangle,420,160,160,420,160,160,north_west,length_on_z,geo-2026-08
geometry-a20-cable-compact,a20-cable-compact,rectangle,560,900,2050,1800,1800,2050,north_west,length_on_z,geo-2026-08
geometry-a22-cable-pro,a22-cable-pro,rectangle,920,520,2200,2100,1900,2200,north_west,length_on_z,geo-2026-08
geometry-a24-jammer-arms,a24-jammer-arms,rectangle,220,1250,220,2100,2300,220,north_west,length_on_z,geo-2026-08
geometry-a26-pullup-multi,a26-pullup-multi,rectangle,1100,320,180,1100,320,2550,north_west,length_on_z,geo-2026-08
geometry-a28-stabiliser,a28-stabiliser,rectangle,1320,280,180,1320,280,180,north_west,length_on_z,geo-2026-08
geometry-a30-interface-adapter,a30-interface-adapter,rectangle,130,130,240,130,130,240,north_west,length_on_z,geo-2026-08
geometry-b10-flat-bench-entry,b10-flat-bench-entry,rectangle,570,1220,430,1200,1900,430,north_west,length_on_z,geo-2026-08
geometry-b20-adjustable-bench-standard,b20-adjustable-bench-standard,rectangle,680,1350,470,1350,2100,1350,north_west,length_on_z,geo-2026-08
geometry-b30-adjustable-bench-premium,b30-adjustable-bench-premium,rectangle,720,1420,480,1400,2200,1450,north_west,length_on_z,geo-2026-08
geometry-c10-rower-standard,c10-rower-standard,rectangle,620,2440,950,1220,2740,1300,north_west,length_on_z,geo-2026-08
geometry-c20-bike-compact,c20-bike-compact,rectangle,610,1120,1320,1200,1750,2000,north_west,length_on_z,geo-2026-08
geometry-c30-stepper-compact,c30-stepper-compact,rectangle,680,1180,1580,1300,1850,2200,north_west,length_on_z,geo-2026-08
geometry-w10-barbell-general,w10-barbell-general,rectangle,2200,50,50,2600,900,50,north_west,length_on_z,geo-2026-08
geometry-w20-barbell-power,w20-barbell-power,rectangle,2200,50,50,2600,900,50,north_west,length_on_z,geo-2026-08
geometry-p100-plate-pack-starter,p100-plate-pack-starter,rectangle,450,450,450,450,450,450,north_west,length_on_z,geo-2026-08
geometry-p150-plate-pack-standard,p150-plate-pack-standard,rectangle,520,520,520,520,520,520,north_west,length_on_z,geo-2026-08
geometry-p200-plate-pack-heavy,p200-plate-pack-heavy,rectangle,580,580,580,580,580,580,north_west,length_on_z,geo-2026-08
geometry-d10-adjustable-dumbbells,d10-adjustable-dumbbells,rectangle,760,460,320,1800,1800,320,north_west,length_on_z,geo-2026-08
geometry-d20-fixed-dumbbell-set,d20-fixed-dumbbell-set,rectangle,1450,650,900,2100,1600,900,north_west,length_on_z,geo-2026-08
geometry-k10-kettlebell-set,k10-kettlebell-set,rectangle,1000,420,420,2000,2000,420,north_west,length_on_z,geo-2026-08
geometry-x10-band-kit,x10-band-kit,rectangle,320,220,100,320,220,100,north_west,length_on_z,geo-2026-08
geometry-m10-training-mat,m10-training-mat,rectangle,650,1830,12,1000,2100,12,north_west,length_on_z,geo-2026-08
geometry-f10-flooring-general,f10-flooring-general,rectangle,3000,2000,10,3000,2000,10,north_west,length_on_z,geo-2026-08
geometry-f20-flooring-impact,f20-flooring-impact,rectangle,3000,2000,20,3000,2000,20,north_west,length_on_z,geo-2026-08
geometry-st10-storage-vertical,st10-storage-vertical,rectangle,620,620,1350,1250,1250,1350,north_west,length_on_z,geo-2026-08
geometry-st20-storage-horizontal,st20-storage-horizontal,rectangle,1600,650,900,1900,1400,900,north_west,length_on_z,geo-2026-08
