sku,region,currency,gross_price_cents,tax_basis,delivery_price_cents,delivery_status,stock_state,stock_quantity,observed_at,valid_until,commercial_version
NS-S10,IE,EUR,54900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-S20,IE,EUR,74900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-H30-G2,IE,EUR,109900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-H40-G2,IE,EUR,144900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-P40-G2,IE,EUR,129900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-P50-G2,IE,EUR,164900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-P60-G3,IE,EUR,219900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-F20-G2,IE,EUR,99900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-F30-G2,IE,EUR,124900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-A10-G2,IE,EUR,9900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-A08-UNI,IE,EUR,8900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-A32-G2,IE,EUR,7900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-A12-G2,IE,EUR,13900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-A14-G2,IE,EUR,11900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-A16-UNI,IE,EUR,6900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-A18-G2,IE,EUR,7900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-A20-G2,IE,EUR,24900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-A22-G3,IE,EUR,64900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-A24-G2,IE,EUR,32900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-A26-G2,IE,EUR,10900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-A28-G2,IE,EUR,8900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-A30-60-75,IE,EUR,5900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-B10,IE,EUR,16900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
NS-B20,IE,EUR,29900,prototype_gross,4500,known,in_stock,12,2026-08-11T12:00:00.000Z,2027-08-11T12:00:00.000Z,commercial-2026-08
