interface_id,variant_id,role,ecosystem,upright_actual_mm,hole_diameter_mm,hardware_class,pin_diameter_mm,spacing_pattern,mounting_faces,required_depth_mm,generation
interface-s10-squat-stand-entry,s10-squat-stand-entry,host,northstar-60,60,17,M16,16,50-mm,"[""front"",""rear"",""side"",""crossmember"",""base""]",,G2
interface-s20-squat-stand-standard,s20-squat-stand-standard,host,northstar-60,60,17,M16,16,50-mm,"[""front"",""rear"",""side"",""crossmember"",""base""]",600,G2
interface-h30-half-rack-entry,h30-half-rack-entry,host,northstar-75,75,17,M16,16,50-mm,"[""front"",""rear"",""side"",""crossmember"",""base""]",600,G2
interface-h40-half-rack-pro,h40-half-rack-pro,host,northstar-75,75,17,M16,16,50-mm,"[""front"",""rear"",""side"",""crossmember"",""base""]",600,G2
interface-p40-power-rack-compact,p40-power-rack-compact,host,northstar-75,75,17,M16,16,50-mm,"[""front"",""rear"",""side"",""crossmember"",""base""]",600,G2
interface-p50-power-rack-standard,p50-power-rack-standard,host,northstar-75,75,17,M16,16,50-mm,"[""front"",""rear"",""side"",""crossmember"",""base""]",600,G2
interface-p60-power-rack-premium,p60-power-rack-premium,host,northstar-75,75,17,M16,16,50-mm,"[""front"",""rear"",""side"",""crossmember"",""base""]",600,G3
interface-f20-folding-rack-compact,f20-folding-rack-compact,host,northstar-75,75,17,M16,16,50-mm,"[""front"",""side"",""crossmember""]",600,G2
interface-f30-folding-rack-pro,f30-folding-rack-pro,host,northstar-75,75,17,M16,16,50-mm,"[""front"",""side"",""crossmember""]",600,G2
interface-a10-dip-attachment,a10-dip-attachment,attachment,northstar-75,75,17,M16,16,50-mm,"[""front"",""side""]",,G2
interface-a08-j-hooks,a08-j-hooks,attachment,northstar-75,75,17,M16,16,50-mm,"[""front"",""side""]",,G2
interface-a32-gym-rings,a32-gym-rings,attachment,northstar-75,75,17,M16,16,50-mm,"[""crossmember""]",,G2
interface-a12-spotter-arms,a12-spotter-arms,attachment,northstar-75,75,17,M16,16,50-mm,"[""front"",""side""]",,G2
interface-a14-safety-straps,a14-safety-straps,attachment,northstar-75,75,17,M16,16,50-mm,"[""front"",""rear""]",,G2
interface-a16-landmine,a16-landmine,attachment,northstar-75,75,17,M16,16,50-mm,"[""base""]",,G2
interface-a18-plate-storage,a18-plate-storage,attachment,northstar-75,75,17,M16,16,50-mm,"[""front"",""side""]",,G2
interface-a20-cable-compact,a20-cable-compact,attachment,northstar-75,75,17,M16,16,50-mm,"[""crossmember"",""base""]",,G2
interface-a22-cable-pro,a22-cable-pro,attachment,northstar-75,75,17,M16,16,50-mm,"[""front"",""rear"",""crossmember""]",,G3
interface-a24-jammer-arms,a24-jammer-arms,attachment,northstar-75,75,17,M16,16,50-mm,"[""front"",""side""]",,G2
interface-a26-pullup-multi,a26-pullup-multi,attachment,northstar-75,75,17,M16,16,50-mm,"[""crossmember""]",,G2
interface-a28-stabiliser,a28-stabiliser,attachment,northstar-75,75,17,M16,16,50-mm,"[""base""]",,G2
interface-a30-interface-adapter,a30-interface-adapter,attachment,northstar-adapter-60-75,75,17,M16,16,50-mm,"[""front"",""side""]",,G2
