variant_id,capability,suitability,priority_weight,evidence_or_policy_id
s10-squat-stand-entry,barbell_strength,supported,6,evidence-s10-squat-stand-entry
s10-squat-stand-entry,bench_press,supported,6,evidence-s10-squat-stand-entry
s10-squat-stand-entry,open_floor_conditioning,supported,6,evidence-s10-squat-stand-entry
s20-squat-stand-standard,barbell_strength,supported,6,evidence-s20-squat-stand-standard
s20-squat-stand-standard,bench_press,supported,6,evidence-s20-squat-stand-standard
s20-squat-stand-standard,pull_up,supported,6,evidence-s20-squat-stand-standard
h30-half-rack-entry,barbell_strength,supported,9,evidence-h30-half-rack-entry
h30-half-rack-entry,bench_press,supported,9,evidence-h30-half-rack-entry
h30-half-rack-entry,pull_up,supported,9,evidence-h30-half-rack-entry
h30-half-rack-entry,dip,supported,9,evidence-h30-half-rack-entry
h40-half-rack-pro,barbell_strength,supported,8,evidence-h40-half-rack-pro
h40-half-rack-pro,bench_press,supported,8,evidence-h40-half-rack-pro
h40-half-rack-pro,pull_up,supported,8,evidence-h40-half-rack-pro
h40-half-rack-pro,cable_resistance,supported,8,evidence-h40-half-rack-pro
h40-half-rack-pro,dip,supported,8,evidence-h40-half-rack-pro
p40-power-rack-compact,barbell_strength,supported,8,evidence-p40-power-rack-compact
p40-power-rack-compact,bench_press,supported,8,evidence-p40-power-rack-compact
p40-power-rack-compact,pull_up,supported,8,evidence-p40-power-rack-compact
p50-power-rack-standard,barbell_strength,supported,9,evidence-p50-power-rack-standard
p50-power-rack-standard,bench_press,supported,9,evidence-p50-power-rack-standard
p50-power-rack-standard,pull_up,supported,9,evidence-p50-power-rack-standard
p50-power-rack-standard,cable_resistance,supported,9,evidence-p50-power-rack-standard
p50-power-rack-standard,dip,supported,9,evidence-p50-power-rack-standard
p60-power-rack-premium,barbell_strength,supported,7,evidence-p60-power-rack-premium
p60-power-rack-premium,bench_press,supported,7,evidence-p60-power-rack-premium
p60-power-rack-premium,pull_up,supported,7,evidence-p60-power-rack-premium
p60-power-rack-premium,cable_resistance,supported,7,evidence-p60-power-rack-premium
p60-power-rack-premium,storage,supported,7,evidence-p60-power-rack-premium
f20-folding-rack-compact,barbell_strength,supported,7,evidence-f20-folding-rack-compact
f20-folding-rack-compact,bench_press,supported,7,evidence-f20-folding-rack-compact
f20-folding-rack-compact,open_floor_conditioning,supported,7,evidence-f20-folding-rack-compact
f30-folding-rack-pro,barbell_strength,supported,6,evidence-f30-folding-rack-pro
f30-folding-rack-pro,bench_press,supported,6,evidence-f30-folding-rack-pro
f30-folding-rack-pro,pull_up,supported,6,evidence-f30-folding-rack-pro
f30-folding-rack-pro,open_floor_conditioning,supported,6,evidence-f30-folding-rack-pro
a10-dip-attachment,dip,supported,5,evidence-a10-dip-attachment
a10-dip-attachment,calisthenics,supported,5,evidence-a10-dip-attachment
a08-j-hooks,barbell_strength,supported,10,evidence-a08-j-hooks
a08-j-hooks,bench_press,supported,10,evidence-a08-j-hooks
a08-j-hooks,required_setup,supported,10,evidence-a08-j-hooks
a32-gym-rings,calisthenics,supported,8,evidence-a32-gym-rings
a32-gym-rings,rings,supported,8,evidence-a32-gym-rings
a32-gym-rings,pull_up,supported,8,evidence-a32-gym-rings
a12-spotter-arms,barbell_strength,supported,5,evidence-a12-spotter-arms
a12-spotter-arms,bench_press,supported,5,evidence-a12-spotter-arms
a14-safety-straps,barbell_strength,supported,5,evidence-a14-safety-straps
a14-safety-straps,bench_press,supported,5,evidence-a14-safety-straps
a16-landmine,barbell_strength,supported,5,evidence-a16-landmine
a16-landmine,free_weight_hypertrophy,supported,5,evidence-a16-landmine
a18-plate-storage,storage,supported,5,evidence-a18-plate-storage
a18-plate-storage,barbell_strength,supported,5,evidence-a18-plate-storage
a20-cable-compact,cable_resistance,supported,5,evidence-a20-cable-compact
a20-cable-compact,free_weight_hypertrophy,supported,5,evidence-a20-cable-compact
a22-cable-pro,cable_resistance,supported,5,evidence-a22-cable-pro
a22-cable-pro,free_weight_hypertrophy,supported,5,evidence-a22-cable-pro
a24-jammer-arms,barbell_strength,supported,5,evidence-a24-jammer-arms
a24-jammer-arms,free_weight_hypertrophy,supported,5,evidence-a24-jammer-arms
a26-pullup-multi,pull_up,supported,5,evidence-a26-pullup-multi
a26-pullup-multi,calisthenics,supported,5,evidence-a26-pullup-multi
a28-stabiliser,cable_resistance,supported,5,evidence-a28-stabiliser
a30-interface-adapter,barbell_strength,supported,5,evidence-a30-interface-adapter
b10-flat-bench-entry,bench_press,supported,7,evidence-b10-flat-bench-entry
b10-flat-bench-entry,free_weight_hypertrophy,supported,7,evidence-b10-flat-bench-entry
b20-adjustable-bench-standard,bench_press,supported,9,evidence-b20-adjustable-bench-standard
b20-adjustable-bench-standard,free_weight_hypertrophy,supported,9,evidence-b20-adjustable-bench-standard
b30-adjustable-bench-premium,bench_press,supported,7,evidence-b30-adjustable-bench-premium
b30-adjustable-bench-premium,free_weight_hypertrophy,supported,7,evidence-b30-adjustable-bench-premium
c10-rower-standard,rowing_cardio,supported,8,evidence-c10-rower-standard
c10-rower-standard,general_fitness,supported,8,evidence-c10-rower-standard
c20-bike-compact,cycling_cardio,supported,9,evidence-c20-bike-compact
c20-bike-compact,general_fitness,supported,9,evidence-c20-bike-compact
c20-bike-compact,low_impact,supported,9,evidence-c20-bike-compact
c30-stepper-compact,general_fitness,supported,6,evidence-c30-stepper-compact
c30-stepper-compact,low_impact,supported,6,evidence-c30-stepper-compact
c30-stepper-compact,open_floor_conditioning,supported,6,evidence-c30-stepper-compact
w10-barbell-general,barbell_strength,supported,9,evidence-w10-barbell-general
w10-barbell-general,free_weight_hypertrophy,supported,9,evidence-w10-barbell-general
w20-barbell-power,barbell_strength,supported,7,evidence-w20-barbell-power
p100-plate-pack-starter,barbell_strength,supported,9,evidence-p100-plate-pack-starter
p100-plate-pack-starter,free_weight_hypertrophy,supported,9,evidence-p100-plate-pack-starter
p150-plate-pack-standard,barbell_strength,supported,7,evidence-p150-plate-pack-standard
p150-plate-pack-standard,free_weight_hypertrophy,supported,7,evidence-p150-plate-pack-standard
p200-plate-pack-heavy,barbell_strength,supported,6,evidence-p200-plate-pack-heavy
d10-adjustable-dumbbells,free_weight_hypertrophy,supported,9,evidence-d10-adjustable-dumbbells
d10-adjustable-dumbbells,general_fitness,supported,9,evidence-d10-adjustable-dumbbells
d20-fixed-dumbbell-set,free_weight_hypertrophy,supported,6,evidence-d20-fixed-dumbbell-set
d20-fixed-dumbbell-set,general_fitness,supported,6,evidence-d20-fixed-dumbbell-set
d20-fixed-dumbbell-set,storage,supported,6,evidence-d20-fixed-dumbbell-set
